dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
arc,2,100,22955,LRU,11461,11494,0.4992812023524287
arc,2,100,22955,LFU,10465,12490,0.4558919625353953
arc,2,100,22955,ARC,11799,11156,0.514005663254193
arc,2,100,22955,2Q,11051,11904,0.4814201698976258
arc,2,100,22955,LIRS,10962,11993,0.4775430189501198
arc,2,100,22955,BELADY,13088,9867,0.5701590067523415
arc,3,100,22973,LRU,11508,11465,0.5009358812519044
arc,3,100,22973,LFU,10488,12485,0.45653593348713706
arc,3,100,22973,ARC,11860,11113,0.5162582161668046
arc,3,100,22973,2Q,10958,12015,0.476994732947373
arc,3,100,22973,LIRS,11027,11946,0.47999825882557784
arc,3,100,22973,BELADY,13088,9885,0.56971227092674
arc,4,100,22953,LRU,11493,11460,0.500718860279702
arc,4,100,22953,LFU,10461,12492,0.45575741733106784
arc,4,100,22953,ARC,11806,11147,0.5143554219492006
arc,4,100,22953,2Q,10944,12009,0.4768004182459809
arc,4,100,22953,LIRS,10992,11961,0.47889164815056856
arc,4,100,22953,BELADY,13088,9865,0.570208687317562
arc,5,100,22896,LRU,11445,11451,0.49986897274633124
arc,5,100,22896,LFU,10416,12480,0.4549266247379455
arc,5,100,22896,ARC,11779,11117,0.5144566736547869
arc,5,100,22896,2Q,10953,11943,0.4783805031446541
arc,5,100,22896,LIRS,10934,11962,0.4775506638714186
arc,5,100,22896,BELADY,13088,9808,0.5716282320055905
arc,6,100,22982,LRU,11492,11490,0.5000435123139848
arc,6,100,22982,LFU,10493,12489,0.456574710643112
arc,6,100,22982,ARC,11828,11154,0.514663649812897
arc,6,100,22982,2Q,11017,11965,0.47937516317117745
arc,6,100,22982,LIRS,11006,11976,0.47889652771734403
arc,6,100,22982,BELADY,13088,9894,0.5694891654338178
arc,7,100,22883,LRU,11463,11420,0.5009395621203514
arc,7,100,22883,LFU,10389,12494,0.454005156666521
arc,7,100,22883,ARC,11772,11111,0.5144430363151684
arc,7,100,22883,2Q,11034,11849,0.4821920202770616
arc,7,100,22883,LIRS,10947,11936,0.4783900712319189
arc,7,100,22883,BELADY,13088,9795,0.5719529781934187
arc,8,100,22877,LRU,11488,11389,0.5021637452463172
arc,8,100,22877,LFU,10395,12482,0.454386501726625
arc,8,100,22877,ARC,11809,11068,0.5161953053284959
arc,8,100,22877,2Q,11028,11849,0.48205621366437906
arc,8,100,22877,LIRS,10984,11893,0.4801328845565415
arc,8,100,22877,BELADY,13088,9789,0.5721029855313197
arc,9,100,22882,LRU,11462,11420,0.5009177519447601
arc,9,100,22882,LFU,10395,12487,0.45428721265623634
arc,9,100,22882,ARC,11839,11043,0.5173935844768814
arc,9,100,22882,2Q,11050,11832,0.48291233283803864
arc,9,100,22882,LIRS,10971,11911,0.4794598374267984
arc,9,100,22882,BELADY,13088,9794,0.5719779739533257
twoq,0,100,29740,LRU,16372,13368,0.5505043712172158
twoq,0,100,29740,LFU,11699,18041,0.39337592468056487
twoq,0,100,29740,ARC,16442,13298,0.5528581035642233
twoq,0,100,29740,2Q,17191,12549,0.5780430396772024
twoq,0,100,29740,LIRS,15236,14504,0.5123066577000672
twoq,0,100,29740,BELADY,18720,11020,0.6294552790854069
twoq,1,100,29825,LRU,16308,13517,0.5467896060352053
twoq,1,100,29825,LFU,11781,18044,0.39500419111483653
twoq,1,100,29825,ARC,16361,13464,0.5485666387259011
twoq,1,100,29825,2Q,17268,12557,0.5789773679798826
twoq,1,100,29825,LIRS,15171,14654,0.5086672254819782
twoq,1,100,29825,BELADY,18720,11105,0.627661357921207
twoq,2,100,29824,LRU,16352,13472,0.5482832618025751
twoq,2,100,29824,LFU,11791,18033,0.3953527360515021
twoq,2,100,29824,ARC,16397,13427,0.5497921137339056
twoq,2,100,29824,2Q,17196,12628,0.5765826180257511
twoq,2,100,29824,LIRS,15191,14633,0.5093548819742489
twoq,2,100,29824,BELADY,18720,11104,0.6276824034334764
twoq,3,100,29667,LRU,16365,13302,0.5516230154717363
twoq,3,100,29667,LFU,11649,18018,0.39265850945494996
twoq,3,100,29667,ARC,16458,13209,0.5547578117099808
twoq,3,100,29667,2Q,17294,12373,0.5829372703677487
twoq,3,100,29667,LIRS,15225,14442,0.5131964809384164
twoq,3,100,29667,BELADY,18720,10947,0.6310041460208312
twoq,4,100,29851,LRU,16364,13487,0.5481893403906066
twoq,4,100,29851,LFU,11815,18036,0.3957991357073465
twoq,4,100,29851,ARC,16456,13395,0.5512713141938294
twoq,4,100,29851,2Q,17221,12630,0.576898596361931
twoq,4,100,29851,LIRS,15241,14610,0.5105691601621386
twoq,4,100,29851,BELADY,18720,11131,0.627114669525309
twoq,5,100,29817,LRU,16335,13482,0.5478418351946875
twoq,5,100,29817,LFU,11783,18034,0.3951772478787269
twoq,5,100,29817,ARC,16429,13388,0.5509943991682598
twoq,5,100,29817,2Q,17229,12588,0.5778247308582353
twoq,5,100,29817,LIRS,15203,14614,0.5098769158533722
twoq,5,100,29817,BELADY,18720,11097,0.6278297615454271
twoq,6,100,29898,LRU,16316,13582,0.5457221218810623
twoq,6,100,29898,LFU,11866,18032,0.396882734631079
twoq,6,100,29898,ARC,16430,13468,0.549535085958927
twoq,6,100,29898,2Q,17225,12673,0.5761254933440364
twoq,6,100,29898,LIRS,15166,14732,0.5072580105692689
